setting,classifier,rate
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('frontal', 'neutral-legendre.dat')]",KNN_manhattam,56.7
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('frontal', 'neutral-chebyshev.dat')]",KNN_manhattam,58.76
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('frontal', 'neutral-zernike.dat')]",KNN_manhattam,46.39
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('radial', 'neutral-hu1980.dat')]",KNN_manhattam,55.15
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('radial', 'neutral-hututu.dat')]",KNN_manhattam,66.49
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('radial', 'neutral-legendre.dat')]",KNN_manhattam,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('radial', 'neutral-chebyshev.dat')]",KNN_manhattam,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('radial', 'neutral-zernike.dat')]",KNN_manhattam,49.48
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('sagittal', 'neutral-hu1980.dat')]",KNN_manhattam,52.58
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('sagittal', 'neutral-hututu.dat')]",KNN_manhattam,62.37
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('sagittal', 'neutral-legendre.dat')]",KNN_manhattam,62.37
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('sagittal', 'neutral-chebyshev.dat')]",KNN_manhattam,62.37
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('sagittal', 'neutral-zernike.dat')]",KNN_manhattam,41.75
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('transversal', 'neutral-hu1980.dat')]",KNN_manhattam,54.12
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('transversal', 'neutral-hututu.dat')]",KNN_manhattam,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('transversal', 'neutral-legendre.dat')]",KNN_manhattam,62.89
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('transversal', 'neutral-chebyshev.dat')]",KNN_manhattam,64.95
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('transversal', 'neutral-zernike.dat')]",KNN_manhattam,41.24
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('whole', 'neutral-hu1980.dat')]",KNN_manhattam,50.52
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('whole', 'neutral-hututu.dat')]",KNN_manhattam,58.25
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('whole', 'neutral-legendre.dat')]",KNN_manhattam,57.22
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('whole', 'neutral-chebyshev.dat')]",KNN_manhattam,55.15
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-hututu.dat'), ('whole', 'neutral-zernike.dat')]",KNN_manhattam,56.19
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('frontal', 'neutral-chebyshev.dat')]",KNN_manhattam,56.19
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('frontal', 'neutral-zernike.dat')]",KNN_manhattam,48.97
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('radial', 'neutral-hu1980.dat')]",KNN_manhattam,60.82
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('radial', 'neutral-hututu.dat')]",KNN_manhattam,67.53
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('radial', 'neutral-legendre.dat')]",MLP,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('radial', 'neutral-chebyshev.dat')]",KNN_manhattam,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('radial', 'neutral-zernike.dat')]",KNN_manhattam,55.15
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('sagittal', 'neutral-hu1980.dat')]",KNN_manhattam,58.25
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('sagittal', 'neutral-hututu.dat')]",KNN_manhattam,63.92
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('sagittal', 'neutral-legendre.dat')]",MLP,65.98
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('sagittal', 'neutral-chebyshev.dat')]",MLP,64.95
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('sagittal', 'neutral-zernike.dat')]",KNN_manhattam,44.33
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('transversal', 'neutral-hu1980.dat')]",KNN_manhattam,59.79
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('transversal', 'neutral-hututu.dat')]",KNN_manhattam,67.53
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('transversal', 'neutral-legendre.dat')]",KNN_manhattam,64.43
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('transversal', 'neutral-chebyshev.dat')]",KNN_manhattam,64.43
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('transversal', 'neutral-zernike.dat')]",KNN_euclidean,46.91
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('whole', 'neutral-hu1980.dat')]",KNN_manhattam,56.7
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('whole', 'neutral-hututu.dat')]",KNN_manhattam,60.31
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('whole', 'neutral-legendre.dat')]",KNN_manhattam,58.25
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('whole', 'neutral-chebyshev.dat')]",KNN_manhattam,58.76
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-legendre.dat'), ('whole', 'neutral-zernike.dat')]",KNN_manhattam,60.82
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-chebyshev.dat'), ('frontal', 'neutral-zernike.dat')]",KNN_manhattam,47.42
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-chebyshev.dat'), ('radial', 'neutral-hu1980.dat')]",KNN_manhattam,60.31
"[('frontal', 'neutral-hu1980.dat'), ('frontal', 'neutral-chebyshev.dat'), ('radial', 'neutral-hututu.dat')]",KNN_manhattam,69.07
