setting,classifier,rate
"[('frontal', 'husiq'), ('frontal', 'hututu')]",KNN_manhattam,88.14
"[('frontal', 'husiq'), ('frontal', 'hu1980')]",KNN_manhattam,85.57
"[('frontal', 'husiq'), ('frontal', 'legendre')]",KNN_manhattam,91.75
"[('frontal', 'husiq'), ('frontal', 'chebyshev')]",KNN_manhattam,92.78
"[('frontal', 'husiq'), ('frontal', 'zernike')]",KNN_manhattam,90.21
"[('frontal', 'husiq'), ('radial', 'husiq')]",KNN_manhattam,88.66
"[('frontal', 'husiq'), ('radial', 'hututu')]",KNN_manhattam,85.57
"[('frontal', 'husiq'), ('radial', 'hu1980')]",KNN_manhattam,89.69
"[('frontal', 'husiq'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'husiq'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'husiq'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'husiq'), ('sagittal', 'husiq')]",KNN_euclidean,88.14
"[('frontal', 'husiq'), ('sagittal', 'hututu')]",KNN_manhattam,87.11
"[('frontal', 'husiq'), ('sagittal', 'hu1980')]",KNN_manhattam,86.08
"[('frontal', 'husiq'), ('sagittal', 'legendre')]",KNN_manhattam,90.72
"[('frontal', 'husiq'), ('sagittal', 'chebyshev')]",MLP,89.18
"[('frontal', 'husiq'), ('sagittal', 'zernike')]",KNN_manhattam,87.63
"[('frontal', 'husiq'), ('transversal', 'husiq')]",KNN_manhattam,90.72
"[('frontal', 'husiq'), ('transversal', 'hututu')]",KNN_manhattam,89.69
"[('frontal', 'husiq'), ('transversal', 'hu1980')]",KNN_manhattam,90.21
"[('frontal', 'husiq'), ('transversal', 'legendre')]",KNN_manhattam,93.3
"[('frontal', 'husiq'), ('transversal', 'chebyshev')]",KNN_manhattam,88.14
"[('frontal', 'husiq'), ('transversal', 'zernike')]",MLP,82.99
"[('frontal', 'husiq'), ('whole', 'husiq')]",KNN_manhattam,87.63
"[('frontal', 'husiq'), ('whole', 'hututu')]",KNN_manhattam,87.11
"[('frontal', 'husiq'), ('whole', 'hu1980')]",KNN_manhattam,86.08
"[('frontal', 'husiq'), ('whole', 'legendre')]",KNN_manhattam,93.81
"[('frontal', 'husiq'), ('whole', 'chebyshev')]",KNN_manhattam,91.24
"[('frontal', 'husiq'), ('whole', 'zernike')]",KNN_manhattam,93.81
"[('frontal', 'husiq'), ('upper', 'husiq')]",KNN_manhattam,84.02
"[('frontal', 'husiq'), ('upper', 'hututu')]",KNN_manhattam,91.24
"[('frontal', 'husiq'), ('upper', 'hu1980')]",KNN_manhattam,87.11
"[('frontal', 'husiq'), ('upper', 'legendre')]",KNN_manhattam,90.72
"[('frontal', 'husiq'), ('upper', 'chebyshev')]",KNN_manhattam,87.11
"[('frontal', 'husiq'), ('upper', 'zernike')]",KNN_manhattam,91.24
"[('frontal', 'husiq'), ('lower', 'husiq')]",KNN_manhattam,87.63
"[('frontal', 'husiq'), ('lower', 'hututu')]",KNN_manhattam,90.21
"[('frontal', 'husiq'), ('lower', 'hu1980')]",KNN_manhattam,86.08
"[('frontal', 'husiq'), ('lower', 'legendre')]",KNN_manhattam,86.08
"[('frontal', 'husiq'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'husiq'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",KNN_manhattam,86.6
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_manhattam,91.75
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,93.3
"[('frontal', 'hututu'), ('frontal', 'zernike')]",KNN_manhattam,92.27
"[('frontal', 'hututu'), ('radial', 'husiq')]",KNN_manhattam,90.72
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,90.21
"[('frontal', 'hututu'), ('radial', 'hu1980')]",KNN_manhattam,87.63
"[('frontal', 'hututu'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",KNN_manhattam,89.69
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",KNN_manhattam,87.11
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",KNN_manhattam,88.66
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_manhattam,91.75
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",KNN_manhattam,90.21
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",MLP,91.24
"[('frontal', 'hututu'), ('transversal', 'husiq')]",KNN_manhattam,91.24
"[('frontal', 'hututu'), ('transversal', 'hututu')]",KNN_manhattam,91.75
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",KNN_manhattam,89.18
"[('frontal', 'hututu'), ('transversal', 'legendre')]",KNN_manhattam,91.75
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",KNN_manhattam,89.69
"[('frontal', 'hututu'), ('transversal', 'zernike')]",KNN_manhattam,84.02
