setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,53.61
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,46.91
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('radial', 'spheric')]",KNN_manhattam,56.19
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,60.82
"[('frontal', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,56.19
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,58.25
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",KNN_manhattam,57.73
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,60.82
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,57.22
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,55.67
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,57.22
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",KNN_manhattam,41.24
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,60.31
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,59.79
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,62.89
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,65.98
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",KNN_manhattam,57.22
"[('frontal', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,64.95
"[('frontal', 'spheric'), ('transversal', 'zernike')]",KNN_euclidean,43.81
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,64.95
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,62.89
"[('frontal', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,54.64
"[('frontal', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,57.73
"[('frontal', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,51.03
"[('frontal', 'spheric'), ('whole', 'husiq')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('whole', 'legendre')]",KNN_manhattam,55.67
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",KNN_manhattam,54.64
"[('frontal', 'spheric'), ('upper', 'spheric')]",KNN_manhattam,52.58
"[('frontal', 'spheric'), ('upper', 'hututu')]",KNN_manhattam,53.61
"[('frontal', 'spheric'), ('upper', 'hu1980')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('upper', 'husiq')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,54.12
"[('frontal', 'spheric'), ('upper', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('lower', 'spheric')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('lower', 'hututu')]",KNN_manhattam,56.7
"[('frontal', 'spheric'), ('lower', 'hu1980')]",KNN_manhattam,51.03
"[('frontal', 'spheric'), ('lower', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'spheric'), ('lower', 'zernike')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('lower', 'legendre')]",KNN_manhattam,54.64
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",KNN_manhattam,52.58
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",KNN_manhattam,46.91
"[('frontal', 'hututu'), ('frontal', 'husiq')]",KNN_manhattam,47.42
"[('frontal', 'hututu'), ('frontal', 'zernike')]",KNN_manhattam,40.72
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_manhattam,52.58
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,53.09
"[('frontal', 'hututu'), ('radial', 'spheric')]",KNN_manhattam,56.7
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,62.89
"[('frontal', 'hututu'), ('radial', 'hu1980')]",KNN_manhattam,51.03
"[('frontal', 'hututu'), ('radial', 'husiq')]",KNN_manhattam,55.15
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,46.91
"[('frontal', 'hututu'), ('radial', 'legendre')]",KNN_manhattam,57.22
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",KNN_manhattam,57.73
"[('frontal', 'hututu'), ('sagittal', 'spheric')]",KNN_euclidean,59.79
"[('frontal', 'hututu'), ('sagittal', 'hututu')]",KNN_manhattam,58.76
"[('frontal', 'hututu'), ('sagittal', 'hu1980')]",KNN_manhattam,52.06
"[('frontal', 'hututu'), ('sagittal', 'husiq')]",KNN_manhattam,55.15
"[('frontal', 'hututu'), ('sagittal', 'zernike')]",KNN_euclidean,32.47
"[('frontal', 'hututu'), ('sagittal', 'legendre')]",KNN_euclidean,62.37
"[('frontal', 'hututu'), ('sagittal', 'chebyshev')]",KNN_euclidean,62.89
"[('frontal', 'hututu'), ('transversal', 'spheric')]",KNN_manhattam,63.92
"[('frontal', 'hututu'), ('transversal', 'hututu')]",KNN_manhattam,67.53
"[('frontal', 'hututu'), ('transversal', 'hu1980')]",KNN_manhattam,51.55
"[('frontal', 'hututu'), ('transversal', 'husiq')]",KNN_manhattam,66.49
"[('frontal', 'hututu'), ('transversal', 'zernike')]",KNN_euclidean,35.05
"[('frontal', 'hututu'), ('transversal', 'legendre')]",KNN_manhattam,68.04
"[('frontal', 'hututu'), ('transversal', 'chebyshev')]",KNN_manhattam,65.46
"[('frontal', 'hututu'), ('whole', 'spheric')]",KNN_manhattam,55.15
"[('frontal', 'hututu'), ('whole', 'hututu')]",KNN_manhattam,54.64
"[('frontal', 'hututu'), ('whole', 'hu1980')]",KNN_manhattam,47.94
"[('frontal', 'hututu'), ('whole', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'hututu'), ('whole', 'zernike')]",KNN_manhattam,49.48
"[('frontal', 'hututu'), ('whole', 'legendre')]",KNN_manhattam,57.22
"[('frontal', 'hututu'), ('whole', 'chebyshev')]",KNN_manhattam,53.61
"[('frontal', 'hututu'), ('upper', 'spheric')]",KNN_manhattam,49.48
"[('frontal', 'hututu'), ('upper', 'hututu')]",KNN_manhattam,52.06
"[('frontal', 'hututu'), ('upper', 'hu1980')]",KNN_manhattam,46.39
"[('frontal', 'hututu'), ('upper', 'husiq')]",KNN_manhattam,50.0
