setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,51.03
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,42.27
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,56.7
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,56.19
"[('frontal', 'spheric'), ('radial', 'spheric')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,59.79
"[('frontal', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,53.09
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,51.03
"[('frontal', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",KNN_manhattam,60.82
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_euclidean,58.25
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,57.22
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",KNN_manhattam,33.51
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_euclidean,64.43
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_euclidean,64.43
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,64.43
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",KNN_euclidean,51.03
"[('frontal', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,53.61
"[('frontal', 'spheric'), ('transversal', 'zernike')]",KNN_euclidean,39.69
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,58.76
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,60.82
"[('frontal', 'spheric'), ('whole', 'spheric')]",KNN_euclidean,54.12
"[('frontal', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,59.28
"[('frontal', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,51.03
"[('frontal', 'spheric'), ('whole', 'husiq')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,56.19
"[('frontal', 'spheric'), ('whole', 'legendre')]",KNN_euclidean,54.12
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",KNN_manhattam,58.25
"[('frontal', 'spheric'), ('upper', 'spheric')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('upper', 'hututu')]",KNN_manhattam,59.79
"[('frontal', 'spheric'), ('upper', 'hu1980')]",KNN_manhattam,52.58
"[('frontal', 'spheric'), ('upper', 'husiq')]",KNN_manhattam,54.12
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,56.7
"[('frontal', 'spheric'), ('upper', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",KNN_manhattam,59.79
"[('frontal', 'spheric'), ('lower', 'spheric')]",KNN_manhattam,50.52
"[('frontal', 'spheric'), ('lower', 'hututu')]",KNN_manhattam,55.15
"[('frontal', 'spheric'), ('lower', 'hu1980')]",KNN_manhattam,51.55
"[('frontal', 'spheric'), ('lower', 'husiq')]",KNN_manhattam,54.64
"[('frontal', 'spheric'), ('lower', 'zernike')]",KNN_manhattam,56.7
"[('frontal', 'spheric'), ('lower', 'legendre')]",KNN_manhattam,52.06
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",KNN_manhattam,57.22
"[('frontal', 'hututu'), ('frontal', 'hu1980')]",KNN_manhattam,44.33
"[('frontal', 'hututu'), ('frontal', 'husiq')]",KNN_manhattam,44.33
"[('frontal', 'hututu'), ('frontal', 'zernike')]",KNN_manhattam,36.6
"[('frontal', 'hututu'), ('frontal', 'legendre')]",KNN_euclidean,55.15
"[('frontal', 'hututu'), ('frontal', 'chebyshev')]",KNN_manhattam,57.22
"[('frontal', 'hututu'), ('radial', 'spheric')]",KNN_manhattam,51.55
"[('frontal', 'hututu'), ('radial', 'hututu')]",KNN_manhattam,50.0
"[('frontal', 'hututu'), ('radial', 'hu1980')]",KNN_manhattam,44.85
"[('frontal', 'hututu'), ('radial', 'husiq')]",KNN_manhattam,47.42
"[('frontal', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,46.91
"[('frontal', 'hututu'), ('radial', 'legendre')]",KNN_manhattam,48.97
"[('frontal', 'hututu'), ('radial', 'chebyshev')]",KNN_manhattam,53.09
