setting,classifier,rate
"[('frontal', 'spheric'), ('frontal', 'hututu')]",KNN_manhattam,41.3
"[('frontal', 'spheric'), ('frontal', 'hu1980')]",KNN_manhattam,42.03
"[('frontal', 'spheric'), ('frontal', 'husiq')]",KNN_manhattam,41.45
"[('frontal', 'spheric'), ('frontal', 'zernike')]",KNN_manhattam,35.65
"[('frontal', 'spheric'), ('frontal', 'legendre')]",KNN_manhattam,44.3
"[('frontal', 'spheric'), ('frontal', 'chebyshev')]",KNN_manhattam,47.18
"[('frontal', 'spheric'), ('radial', 'spheric')]",KNN_manhattam,43.49
"[('frontal', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,44.33
"[('frontal', 'spheric'), ('radial', 'hu1980')]",KNN_manhattam,40.72
"[('frontal', 'spheric'), ('radial', 'husiq')]",KNN_manhattam,41.22
"[('frontal', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,40.65
"[('frontal', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,44.03
"[('frontal', 'spheric'), ('radial', 'chebyshev')]",ERROR_NORM,0.0
"[('frontal', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,44.83
"[('frontal', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,46.45
"[('frontal', 'spheric'), ('sagittal', 'hu1980')]",KNN_manhattam,42.14
"[('frontal', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,42.07
"[('frontal', 'spheric'), ('sagittal', 'zernike')]",KNN_euclidean,34.92
"[('frontal', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,48.41
"[('frontal', 'spheric'), ('sagittal', 'chebyshev')]",KNN_manhattam,51.52
"[('frontal', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,45.26
"[('frontal', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,56.05
"[('frontal', 'spheric'), ('transversal', 'hu1980')]",KNN_manhattam,43.41
"[('frontal', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,46.56
"[('frontal', 'spheric'), ('transversal', 'zernike')]",KNN_manhattam,37.07
"[('frontal', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,53.52
"[('frontal', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,53.63
"[('frontal', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,43.18
"[('frontal', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,46.48
"[('frontal', 'spheric'), ('whole', 'hu1980')]",KNN_manhattam,40.84
"[('frontal', 'spheric'), ('whole', 'husiq')]",KNN_manhattam,42.11
"[('frontal', 'spheric'), ('whole', 'zernike')]",KNN_manhattam,44.56
"[('frontal', 'spheric'), ('whole', 'legendre')]",KNN_manhattam,44.95
"[('frontal', 'spheric'), ('whole', 'chebyshev')]",KNN_manhattam,48.6
"[('frontal', 'spheric'), ('upper', 'spheric')]",KNN_manhattam,42.76
"[('frontal', 'spheric'), ('upper', 'hututu')]",KNN_manhattam,48.91
"[('frontal', 'spheric'), ('upper', 'hu1980')]",KNN_manhattam,41.07
"[('frontal', 'spheric'), ('upper', 'husiq')]",KNN_manhattam,42.03
"[('frontal', 'spheric'), ('upper', 'zernike')]",KNN_manhattam,44.06
"[('frontal', 'spheric'), ('upper', 'legendre')]",KNN_manhattam,46.22
"[('frontal', 'spheric'), ('upper', 'chebyshev')]",KNN_manhattam,48.1
"[('frontal', 'spheric'), ('lower', 'spheric')]",KNN_manhattam,40.68
"[('frontal', 'spheric'), ('lower', 'hututu')]",KNN_manhattam,42.87
"[('frontal', 'spheric'), ('lower', 'hu1980')]",KNN_manhattam,40.61
"[('frontal', 'spheric'), ('lower', 'husiq')]",KNN_manhattam,42.11
"[('frontal', 'spheric'), ('lower', 'zernike')]",KNN_manhattam,42.37
"[('frontal', 'spheric'), ('lower', 'legendre')]",KNN_manhattam,42.95
"[('frontal', 'spheric'), ('lower', 'chebyshev')]",KNN_manhattam,42.37
