l1,l2,l3,sample,subject
6.094629e+08,5.559216e+16,5.569943e+23,3,72
3.753422e+08,1.680189e+16,9.346667e+22,3,93
3.113059e+08,1.236483e+16,2.068000e+22,0,26
2.898884e+08,1.675808e+16,1.396184e+23,3,96
1.602759e+08,2.139780e+15,3.998320e+21,1,55
2.747897e+07,7.442199e+13,3.095370e+19,3,90
7.018426e+08,1.039179e+17,1.507889e+24,1,5
6.294766e+08,8.281824e+16,1.472244e+24,0,27
5.996244e+07,1.953824e+14,1.111111e+20,0,28
8.526941e+08,1.454254e+17,2.635659e+24,0,67
3.617811e+08,1.106823e+16,3.024090e+22,3,91
9.229410e+08,1.660880e+17,4.301305e+24,0,16
4.367694e+08,2.753759e+16,1.102069e+23,3,99
2.752760e+08,8.309474e+15,3.457496e+22,3,78
1.402776e+08,1.423086e+15,1.747401e+21,2,102
2.048828e+08,4.699653e+15,1.584643e+22,0,22
6.158329e+07,3.903442e+14,1.988067e+20,1,84
2.861242e+08,1.036580e+16,6.031966e+22,2,82
1.288210e+08,8.144542e+14,5.519632e+20,3,68
1.985472e+08,3.380970e+15,4.675089e+21,3,80
6.148673e+07,2.764081e+14,1.991948e+20,1,10
1.876340e+08,5.282676e+15,1.448855e+22,0,56
5.322651e+08,6.995311e+16,8.945935e+23,1,86
6.443176e+08,7.426770e+16,1.119690e+24,1,73
1.531376e+08,3.418890e+15,1.351365e+22,1,40
4.679181e+07,2.384670e+14,8.722021e+19,2,76
5.882355e+07,5.305747e+14,3.269000e+20,0,76
4.417247e+07,2.417373e+14,1.277135e+20,2,53
3.783281e+07,9.345157e+13,3.610469e+19,1,65
4.599982e+08,4.642824e+16,7.644875e+23,0,32
6.227324e+08,5.782889e+16,4.942175e+23,3,98
1.766240e+08,5.631384e+15,2.829129e+22,0,10
2.429400e+08,5.036497e+15,8.384951e+21,2,99
5.384986e+07,4.341538e+14,4.857416e+20,3,61
8.338789e+07,2.665774e+14,5.960199e+19,3,95
1.141682e+08,9.448407e+14,1.325270e+21,0,55
1.528775e+08,2.314677e+15,5.412600e+21,2,66
3.955251e+08,2.679341e+16,2.161994e+23,3,56
1.202595e+08,1.396416e+15,1.511508e+21,2,84
3.386615e+08,1.361748e+16,2.974384e+22,2,92
1.901031e+08,6.006113e+15,2.167048e+22,2,62
4.356058e+08,3.133210e+16,1.588025e+23,0,83
5.611225e+07,4.660548e+14,2.322512e+20,1,57
2.382718e+07,7.578190e+13,2.340432e+19,3,59
3.671696e+07,5.838061e+13,1.499501e+19,0,11
9.494945e+07,1.387895e+15,2.470019e+21,0,13
4.107404e+08,2.271611e+16,2.396386e+23,1,64
5.181356e+08,4.319351e+16,5.039592e+23,1,35
7.153330e+08,8.964278e+16,1.108774e+24,0,8
3.008320e+08,1.883839e+16,9.983050e+22,0,86
4.227909e+07,1.381397e+14,5.279288e+19,1,63
4.607270e+08,2.420472e+16,1.192291e+23,2,51
5.277361e+07,3.246025e+14,2.355968e+20,3,48
1.360959e+08,3.616818e+15,1.288924e+22,0,14
3.540436e+08,1.675662e+16,1.477446e+23,1,54
2.319684e+08,8.086564e+15,2.687172e+22,1,52
1.858744e+08,4.774927e+15,1.568051e+22,0,63
3.604496e+08,1.053400e+16,6.344476e+21,3,101
5.108935e+08,4.287350e+16,2.689660e+23,2,91
3.140586e+08,1.599263e+16,3.863315e+22,3,49
3.274169e+08,1.093880e+16,4.452942e+22,0,102
5.786404e+07,2.832784e+14,3.010803e+20,1,0
3.326247e+08,1.826671e+16,1.810320e+23,0,36
1.581979e+08,2.028692e+15,1.697130e+21,0,18
4.926660e+08,3.656185e+16,2.449918e+23,2,97
3.875399e+08,3.166829e+16,2.425185e+23,2,79
2.380953e+08,2.880441e+15,4.006308e+21,3,79
2.368180e+08,9.800254e+15,4.190225e+22,3,86
5.437596e+08,7.023441e+16,1.248066e+24,1,94
1.319067e+08,1.429806e+15,1.778281e+21,1,48
6.733801e+08,9.337335e+16,1.002429e+24,0,98
3.485896e+08,1.882689e+16,6.449542e+22,1,61
2.492160e+08,1.391042e+16,1.032982e+23,0,96
3.185932e+08,2.027196e+16,1.222833e+23,2,37
3.146292e+08,1.801857e+16,1.036108e+23,0,84
2.598258e+08,4.349446e+15,1.026825e+22,0,97
3.214012e+08,1.992174e+16,9.221796e+22,0,74
2.546033e+08,1.058851e+16,4.536284e+22,1,104
1.295931e+08,1.527776e+15,1.634133e+21,1,88
2.572267e+08,6.417448e+15,3.996096e+21,0,80
3.639789e+08,2.267148e+16,1.080657e+23,0,34
2.343080e+08,7.027939e+15,2.318951e+22,1,92
5.432318e+08,5.469779e+16,6.473419e+23,0,25
2.907578e+08,1.285770e+16,8.889983e+22,0,70
3.427898e+08,1.544575e+16,1.117511e+23,0,3
1.288547e+08,2.186248e+15,5.549605e+21,0,59
4.437191e+08,3.381372e+16,3.150221e+23,2,81
2.179592e+08,4.049876e+15,3.557557e+21,2,61
3.783205e+08,2.137302e+16,1.212138e+23,2,64
1.751221e+07,4.880342e+13,1.003687e+19,0,95
4.308987e+08,4.138338e+16,3.006265e+23,0,0
4.511747e+08,3.277915e+16,1.170622e+23,1,49
